      series id       , year , period , monthly average , footnotes 
 LAUST510000000000003 ,2009,  M11   ,6.8,           
 LAUST510000000000003 ,2009,  M10   ,6.8,           
 LAUST510000000000003 ,2009,  M09   ,6.9,           
 LAUST510000000000003 ,2009,  M08   ,6.9,           
 LAUST510000000000003 ,2009,  M07   ,6.8,           
 LAUST510000000000003 ,2009,  M06   ,7,           
 LAUST510000000000003 ,2009,  M05   ,6.7,           
 LAUST510000000000003 ,2009,  M04   ,6.2,           
 LAUST510000000000003 ,2009,  M03   ,6.6,           
 LAUST510000000000003 ,2009,  M02   ,6.4,           
 LAUST510000000000003 ,2009,  M01   ,6.1,           
